State,Pct_Unemployed
Alabama,4.8
Alaska,5.700000000000001
Arizona,5.700000000000001
Arkansas,4.1
California,10.8
Colorado,7.8999999999999995
Connecticut,5.6
Delaware,8.5
Florida,7.699999999999999
Georgia,4.4
Hawaii,11.5
Idaho,1.7999999999999998
Illinois,10.6
Indiana,7.6
Iowa,4.2
Kansas,4.199999999999999
Kentucky,0.0
Louisiana,4.8
Maine,2.3000000000000007
Maryland,4.700000000000001
Massachusetts,14.1
Michigan,10.600000000000001
Minnesota,4.8
Mississippi,4.299999999999999
Missouri,3.6000000000000005
Montana,2.5999999999999996
Nebraska,3.7
Nevada,11.399999999999999
New Hampshire,8.6
New Jersey,11.999999999999998
New Mexico,4.0
New York,11.5
North Carolina,3.8000000000000007
North Dakota,3.5
Ohio,6.1
Oklahoma,3.5
Oregon,7.500000000000001
Pennsylvania,8.0
Rhode Island,8.0
South Carolina,5.9
South Dakota,3.2
Tennessee,6.3
Texas,5.1000000000000005
Utah,2.7
Vermont,6.4
Virginia,5.5
Washington,5.299999999999999
West Virginia,4.9
Wisconsin,4.499999999999999
Wyoming,3.3
