,Date,Race,Unemployment Rate Percent Change,Unemployment Rate
0,2019-01-01,White,,3.9
1,2019-01-01,Black,,7.0
2,2019-01-01,Asian,,3.2
3,2019-01-01,White,,3.9
4,2019-01-01,Black,,7.0
5,2019-01-01,Asian,,3.2
6,2019-01-01,White,,3.9
7,2019-01-01,Black,,7.0
8,2019-01-01,Asian,,3.2
9,2019-02-01,White,-0.1282051282051282,3.4
10,2019-02-01,Black,-0.1282051282051282,7.1
11,2019-02-01,Asian,-0.1282051282051282,3.1
12,2019-02-01,White,0.014285714285714235,3.4
13,2019-02-01,Black,0.014285714285714235,7.1
14,2019-02-01,Asian,0.014285714285714235,3.1
15,2019-02-01,White,-0.03125,3.4
16,2019-02-01,Black,-0.03125,7.1
17,2019-02-01,Asian,-0.03125,3.1
18,2019-03-01,White,-0.02941176470588236,3.3
19,2019-03-01,Black,-0.02941176470588236,6.6
20,2019-03-01,Asian,-0.02941176470588236,2.9
21,2019-03-01,White,-0.07042253521126762,3.3
22,2019-03-01,Black,-0.07042253521126762,6.6
23,2019-03-01,Asian,-0.07042253521126762,2.9
24,2019-03-01,White,-0.06451612903225812,3.3
25,2019-03-01,Black,-0.06451612903225812,6.6
26,2019-03-01,Asian,-0.06451612903225812,2.9
27,2019-04-01,White,-0.1515151515151515,2.8
28,2019-04-01,Black,-0.1515151515151515,5.9
29,2019-04-01,Asian,-0.1515151515151515,2.1
30,2019-04-01,White,-0.10606060606060597,2.8
31,2019-04-01,Black,-0.10606060606060597,5.9
32,2019-04-01,Asian,-0.10606060606060597,2.1
33,2019-04-01,White,-0.27586206896551724,2.8
34,2019-04-01,Black,-0.27586206896551724,5.9
35,2019-04-01,Asian,-0.27586206896551724,2.1
36,2019-05-01,White,0.03571428571428581,2.9
37,2019-05-01,Black,0.03571428571428581,5.7
38,2019-05-01,Asian,0.03571428571428581,2.3
39,2019-05-01,White,-0.03389830508474578,2.9
40,2019-05-01,Black,-0.03389830508474578,5.7
41,2019-05-01,Asian,-0.03389830508474578,2.3
42,2019-05-01,White,0.09523809523809512,2.9
43,2019-05-01,Black,0.09523809523809512,5.7
44,2019-05-01,Asian,0.09523809523809512,2.3
45,2019-06-01,White,0.13793103448275867,3.3
46,2019-06-01,Black,0.13793103448275867,5.8
47,2019-06-01,Asian,0.13793103448275867,2.2
48,2019-06-01,White,0.01754385964912264,3.3
49,2019-06-01,Black,0.01754385964912264,5.8
50,2019-06-01,Asian,0.01754385964912264,2.2
51,2019-06-01,White,-0.04347826086956508,3.3
52,2019-06-01,Black,-0.04347826086956508,5.8
53,2019-06-01,Asian,-0.04347826086956508,2.2
54,2019-07-01,White,0.030303030303030276,3.4
55,2019-07-01,Black,0.030303030303030276,6.1
56,2019-07-01,Asian,0.030303030303030276,2.9
57,2019-07-01,White,0.051724137931034475,3.4
58,2019-07-01,Black,0.051724137931034475,6.1
59,2019-07-01,Asian,0.051724137931034475,2.9
60,2019-07-01,White,0.3181818181818181,3.4
61,2019-07-01,Black,0.3181818181818181,6.1
62,2019-07-01,Asian,0.3181818181818181,2.9
63,2019-08-01,White,0.0,3.4
64,2019-08-01,Black,0.0,5.4
65,2019-08-01,Asian,0.0,2.8
66,2019-08-01,White,-0.11475409836065564,3.4
67,2019-08-01,Black,-0.11475409836065564,5.4
68,2019-08-01,Asian,-0.11475409836065564,2.8
69,2019-08-01,White,-0.034482758620689724,3.4
70,2019-08-01,Black,-0.034482758620689724,5.4
71,2019-08-01,Asian,-0.034482758620689724,2.8
72,2019-09-01,White,-0.11764705882352944,3.0
73,2019-09-01,Black,-0.11764705882352944,5.0
74,2019-09-01,Asian,-0.11764705882352944,2.3
75,2019-09-01,White,-0.07407407407407418,3.0
76,2019-09-01,Black,-0.07407407407407418,5.0
77,2019-09-01,Asian,-0.07407407407407418,2.3
78,2019-09-01,White,-0.1785714285714286,3.0
79,2019-09-01,Black,-0.1785714285714286,5.0
80,2019-09-01,Asian,-0.1785714285714286,2.3
81,2019-10-01,White,-0.06666666666666676,2.8
82,2019-10-01,Black,-0.06666666666666676,5.4
83,2019-10-01,Asian,-0.06666666666666676,2.8
84,2019-10-01,White,0.08000000000000007,2.8
85,2019-10-01,Black,0.08000000000000007,5.4
86,2019-10-01,Asian,0.08000000000000007,2.8
87,2019-10-01,White,0.21739130434782616,2.8
88,2019-10-01,Black,0.21739130434782616,5.4
89,2019-10-01,Asian,0.21739130434782616,2.8
90,2019-11-01,White,0.03571428571428581,2.9
91,2019-11-01,Black,0.03571428571428581,5.1
92,2019-11-01,Asian,0.03571428571428581,2.5
93,2019-11-01,White,-0.05555555555555569,2.9
94,2019-11-01,Black,-0.05555555555555569,5.1
95,2019-11-01,Asian,-0.05555555555555569,2.5
96,2019-11-01,White,-0.1071428571428571,2.9
97,2019-11-01,Black,-0.1071428571428571,5.1
98,2019-11-01,Asian,-0.1071428571428571,2.5
99,2019-12-01,White,0.0,2.9
100,2019-12-01,Black,0.0,5.5
101,2019-12-01,Asian,0.0,2.4
102,2019-12-01,White,0.07843137254901977,2.9
103,2019-12-01,Black,0.07843137254901977,5.5
104,2019-12-01,Asian,0.07843137254901977,2.4
105,2019-12-01,White,-0.040000000000000036,2.9
106,2019-12-01,Black,-0.040000000000000036,5.5
107,2019-12-01,Asian,-0.040000000000000036,2.4
108,2020-01-01,White,0.17241379310344818,3.4
109,2020-01-01,Black,0.17241379310344818,6.4
110,2020-01-01,Asian,0.17241379310344818,3.2
111,2020-01-01,White,0.1636363636363638,3.4
112,2020-01-01,Black,0.1636363636363638,6.4
113,2020-01-01,Asian,0.1636363636363638,3.2
114,2020-01-01,White,0.3333333333333335,3.4
115,2020-01-01,Black,0.3333333333333335,6.4
116,2020-01-01,Asian,0.3333333333333335,3.2
117,2020-02-01,White,-0.02941176470588236,3.3
118,2020-02-01,Black,-0.02941176470588236,6.1
119,2020-02-01,Asian,-0.02941176470588236,2.6
120,2020-02-01,White,-0.04687500000000011,3.3
121,2020-02-01,Black,-0.04687500000000011,6.1
122,2020-02-01,Asian,-0.04687500000000011,2.6
123,2020-02-01,White,-0.1875,3.3
124,2020-02-01,Black,-0.1875,6.1
125,2020-02-01,Asian,-0.1875,2.6
126,2020-03-01,White,0.18181818181818188,3.9
127,2020-03-01,Black,0.18181818181818188,6.8
128,2020-03-01,Asian,0.18181818181818188,4.1
129,2020-03-01,White,0.11475409836065587,3.9
130,2020-03-01,Black,0.11475409836065587,6.8
131,2020-03-01,Asian,0.11475409836065587,4.1
132,2020-03-01,White,0.5769230769230766,3.9
133,2020-03-01,Black,0.5769230769230766,6.8
134,2020-03-01,Asian,0.5769230769230766,4.1
135,2020-04-01,White,2.5128205128205128,13.7
136,2020-04-01,Black,2.5128205128205128,16.2
137,2020-04-01,Asian,2.5128205128205128,14.3
138,2020-04-01,White,1.3823529411764706,13.7
139,2020-04-01,Black,1.3823529411764706,16.2
140,2020-04-01,Asian,1.3823529411764706,14.3
141,2020-04-01,White,2.487804878048781,13.7
142,2020-04-01,Black,2.487804878048781,16.2
143,2020-04-01,Asian,2.487804878048781,14.3
144,2020-05-01,White,-0.13868613138686126,11.8
145,2020-05-01,Black,-0.13868613138686126,16.2
146,2020-05-01,Asian,-0.13868613138686126,14.8
147,2020-05-01,White,0.0,11.8
148,2020-05-01,Black,0.0,16.2
149,2020-05-01,Asian,0.0,14.8
150,2020-05-01,White,0.034965034965035,11.8
151,2020-05-01,Black,0.034965034965035,16.2
152,2020-05-01,Asian,0.034965034965035,14.8
153,2020-06-01,White,-0.1610169491525424,9.9
154,2020-06-01,Black,-0.1610169491525424,15.2
155,2020-06-01,Asian,-0.1610169491525424,13.8
156,2020-06-01,White,-0.06172839506172845,9.9
157,2020-06-01,Black,-0.06172839506172845,15.2
158,2020-06-01,Asian,-0.06172839506172845,13.8
159,2020-06-01,White,-0.06756756756756754,9.9
160,2020-06-01,Black,-0.06756756756756754,15.2
161,2020-06-01,Asian,-0.06756756756756754,13.8
