Industry,Jobs lost
Service providing,-11089.0
Private service providing,-9645.0
Mining and logging,-73.0
Construction,119.0
Manufacturing,-597.0
Durable goods,-403.0
Nondurable goods,-194.0
Trade Transportation and Utilities,-1981.0
Wholesale Trade,-263.40000000000055
Retail Trade,-1154.8999999999996
Transportation and Warehousing,-558.0
Utilities,-5.2000000000000455
Information,-271.0
Financial activities,-112.0
Professional and business services,-1303.0
Education and health services,-1834.0
Leisure and hospitality,-3536.0
Other services,-608.0
Government,-1444.0
